"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Central Europe and the Baltics","CEB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","65.7561521655666","65.9476256053226","66.8160067989072","91.8668013710546","92.7030474417435","92.2149941539654","90.3022984920452","93.7761190488851","90.5846648149563","94.2133411676053","94.8579740324929","94.3166807270496","92.0888406666756","88.605198490415","94.3563319821633","95.0707414559088","96.344230109953","96.353054252003","96.5892914244186","97.1648763837379","96.7039672770911","96.8866628765448","97.5042532943853","97.0721995053469","97.1065621790623","97.4476427012461","97.4116064839233","97.5664810882817","97.265738401014","97.2001580058838","97.1179668064084","96.4808110914331","96.5444589354596","96.3366333510188","95.1876867523099","94.1086968638996","93.8135291923249","93.2123602216277","93.4908092108663","93.1433881398598","",
"Switzerland","CHE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","90","90","83","83","83","83","83","83","83","81","82","82","82","82","82","82","87","87","87","92","92","92","93","93","93","94","94","94","95","95","95","",
"Channel Islands","CHI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","94","95","96","95","94","92","91","92","95","92","97","99","89","94","96","97","93","96","98","94","97","96","95","96","94","90","91","92","96","93","93","91","90","90","97","96","93","93","93","95","",
"China","CHN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","78","84","88","63","77","95","95","98","92","87","81","75","80","84","83","83","84","84","85","85","85","86","86","93","94","97","99","99","99","99","99","99","99","99","99","99","99","",
"Cote d'Ivoire","CIV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","30","31","41","56","57","54","52","55","57","65","68","66","57","68","71","71","70","78","84","73","67","63","67","64","49","74","69","59","67","73","70","76","76","",
"Cameroon","CMR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","16","21","25","31","39","44","44","48","56","56","48","37","32","38","46","39","43","47","46","49","51","53","61","64","68","73","74","80","74","79","76","82","83","78","74","71","65","59","60","",
"Congo, Dem. Rep.","COD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","18","23","25","30","30","40","39","41","44","41","38","17","25","33","39","27","21","20","20","15","46","35","42","49","57","61","63","68","64","72","74","74","72","71","67","64","57","57","57","57","",
"Congo, Rep.","COG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","49","49","55","59","52","67","69","69","73","75","75","64","60","55","47","38","42","18","21","23","34","35","37","50","65","54","61","59","69","63","75","83","80","80","80","80","67","70","75","73","",
"Colombia","COL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","13","26","28","43","51","51","45","59","74","81","82","78","74","94","84","95","90","80","78","79","88","93","93","93","94","96","95","93","95","89","88","88","94","92","91","94","93","93","95","95","",
"Comoros","COM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","42","18","71","71","40","85","87","40","51","56","59","69","43","49","67","69","70","70","71","67","76","67","66","65","76","79","72","79","85","85","86","90","90","90","90","90","",
"Cabo Verde","CPV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","54","58","75","80","84","79","76","82","88","87","85","84","83","84","85","86","88","89","90","91","92","94","95","96","97","97","96","91","91","93","92","93","96","99","98","",
"Costa Rica","CRI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","60","79","87","84","76","78","90","93","97","77","90","96","92","89","87","91","84","99","83","88","82","82","94","89","88","89","90","90","89","81","83","83","90","91","95","93","93","96","94","95","",
"Caribbean small states","CSS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","1.97375645585391","5.14652317275565","23.785675311669","26.3597159925176","50.2732972618462","55.286149044089","49.3023711566848","65.2583176691729","69.3641321251581","71.3171602007307","74.8586086376425","82.5647830534994","71.4627832902771","83.285734139901","83.4077094630051","86.7258097431562","92.4100565037067","87.0248483952078","89.2342043856763","84.842077744942","88.7628262272909","88.3265639151754","87.4032992081583","83.2887730780107","89.1522517491706","88.9457700831486","88.9746164741216","85.5238050489086","90.7200837938258","92.1461707883875","91.3046437636914","90.4813858050024","89.9811946711016","93.197856490024","92.1338719381177","91.3087522349058","92.106253830961","92.6094315650237","89.776059705691","92.2683570628699","",
"Cuba","CUB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","48","49","55","94","82","85","80","99","89","98","94","99","99","96","99","99","99","96","99","96","94","96","98","99","99","98","96","97","98","99","99","99","99","99","99","99","99","99","99","99","",
"Curacao","CUW","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","29","28","21","19","25","43","60","91","74","76","77","78","80","81","82","83","90","90","89","87","86","86","86","86","86","86","87","87","87","87","87","87","86","86","86","90","90","90","90","86","",
